题目内容,题目类型,难度,分值,选项A,选项B,选项C,选项D,选项E,选项F,正确答案,知识点,标签,解析
Readonly<T> 的正确理解是？,single_choice,hard,1,从类型 T 挑选一组属性组成新类型,从类型 T 中排除一组属性生成新类型,将类型 T 的所有属性设为只读,根据联合类型 K 构造键，所有键的值都为类型 V,,,C,"TypeScript,工程化","TypeScript,工程化",将类型 T 的所有属性设为只读
"Record<K,V> 的正确理解是？",single_choice,hard,1,生成某个类型所有键名组成的联合类型,根据联合类型 K 构造键，所有键的值都为类型 V,从类型 T 挑选一组属性组成新类型,从类型 T 中排除一组属性生成新类型,,,B,"TypeScript,工程化","TypeScript,工程化",根据联合类型 K 构造键，所有键的值都为类型 V
"Pick<T,K> 的正确理解是？",single_choice,hard,1,从类型 T 挑选一组属性组成新类型,从类型 T 中排除一组属性生成新类型,生成某个类型所有键名组成的联合类型,使用 extends 判断在类型层面进行分支选择,,,A,"TypeScript,工程化","TypeScript,工程化",从类型 T 挑选一组属性组成新类型
"Omit<T,K> 的正确理解是？",single_choice,hard,1,生成某个类型所有键名组成的联合类型,使用 extends 判断在类型层面进行分支选择,根据已有类型的键生成新的属性结构,从类型 T 中排除一组属性生成新类型,,,D,"TypeScript,工程化","TypeScript,工程化",从类型 T 中排除一组属性生成新类型
keyof 操作符 的正确理解是？,single_choice,hard,1,根据已有类型的键生成新的属性结构,在运行时代码中缩小联合类型的取值范围,生成某个类型所有键名组成的联合类型,使用 extends 判断在类型层面进行分支选择,,,C,"TypeScript,工程化","TypeScript,工程化",生成某个类型所有键名组成的联合类型
条件类型 的正确理解是？,single_choice,hard,1,通过配置路径别名来精简模块导入语句,使用 extends 判断在类型层面进行分支选择,根据已有类型的键生成新的属性结构,在运行时代码中缩小联合类型的取值范围,,,B,"TypeScript,工程化","TypeScript,工程化",使用 extends 判断在类型层面进行分支选择
映射类型 的正确理解是？,single_choice,hard,1,根据已有类型的键生成新的属性结构,在运行时代码中缩小联合类型的取值范围,通过配置路径别名来精简模块导入语句,基于 Go 的高速打包器，适合开发阶段快速构建,,,A,"TypeScript,工程化","TypeScript,工程化",根据已有类型的键生成新的属性结构
类型守卫 的正确理解是？,single_choice,hard,1,通过配置路径别名来精简模块导入语句,基于 Go 的高速打包器，适合开发阶段快速构建,借助原生 ESM 与按需编译实现毫秒级的 dev server 启动,在运行时代码中缩小联合类型的取值范围,,,D,"TypeScript,工程化","TypeScript,工程化",在运行时代码中缩小联合类型的取值范围
tsconfig paths 的正确理解是？,single_choice,hard,1,借助原生 ESM 与按需编译实现毫秒级的 dev server 启动,在打包阶段移除未被引用的模块导出以减小体积,通过配置路径别名来精简模块导入语句,基于 Go 的高速打包器，适合开发阶段快速构建,,,C,"TypeScript,工程化","TypeScript,工程化",通过配置路径别名来精简模块导入语句
esbuild 的正确理解是？,single_choice,hard,1,把应用拆分为多个按需加载的包以优化首屏加载,基于 Go 的高速打包器，适合开发阶段快速构建,借助原生 ESM 与按需编译实现毫秒级的 dev server 启动,在打包阶段移除未被引用的模块导出以减小体积,,,B,"TypeScript,工程化","TypeScript,工程化",基于 Go 的高速打包器，适合开发阶段快速构建
Vite 冷启动 的正确理解是？,single_choice,hard,1,借助原生 ESM 与按需编译实现毫秒级的 dev server 启动,在打包阶段移除未被引用的模块导出以减小体积,把应用拆分为多个按需加载的包以优化首屏加载,允许为函数或类型提供占位符类型以复用逻辑且保持类型推断,,,A,"TypeScript,工程化","TypeScript,工程化",借助原生 ESM 与按需编译实现毫秒级的 dev server 启动
Tree Shaking 的正确理解是？,single_choice,hard,1,把应用拆分为多个按需加载的包以优化首屏加载,允许为函数或类型提供占位符类型以复用逻辑且保持类型推断,把类型 T 的所有属性变为可选,在打包阶段移除未被引用的模块导出以减小体积,,,D,"TypeScript,工程化","TypeScript,工程化",在打包阶段移除未被引用的模块导出以减小体积
Code Splitting 的正确理解是？,single_choice,hard,1,把类型 T 的所有属性变为可选,将类型 T 的所有属性设为只读,把应用拆分为多个按需加载的包以优化首屏加载,允许为函数或类型提供占位符类型以复用逻辑且保持类型推断,,,C,"TypeScript,工程化","TypeScript,工程化",把应用拆分为多个按需加载的包以优化首屏加载
